run,K,sw,lambda,block_id,block_name,num_F,num_R,F_ratio_block,total_cost_J_sum_zones,k_per_zone
sweep_K20_sw3_lam1.0_kmax4,20,3,1.0,1,block_1,69,181,0.276,5.15462869,2;4;4;3;2;4;3;4;4;4;4;4;4;4;2
sweep_K20_sw3_lam1.0_kmax4,20,3,1.0,2,block_2,69,181,0.276,6.37164394,2;4;4;4;2;4;3;4;4;4;4;4;4;4;2
sweep_K20_sw3_lam1.0_kmax4,20,3,1.0,3,block_3,69,181,0.276,6.67555209,2;4;4;4;2;4;3;4;4;4;4;4;4;4;2
sweep_K20_sw3_lam1.0_kmax4,20,3,1.0,4,block_4,69,181,0.276,5.27819086,2;4;4;3;2;4;3;4;4;4;4;4;4;4;2
sweep_K20_sw3_lam1.0_kmax4,20,3,1.0,5,block_5,69,181,0.276,5.56331508,2;4;4;4;2;4;3;4;4;4;4;4;4;4;2
sweep_K20_sw3_lam1.0_kmax4,20,3,1.0,6,block_6,69,181,0.276,7.14847932,2;4;4;3;2;4;3;4;4;4;4;4;4;4;2
sweep_K20_sw3_lam1.0_kmax4,20,3,1.0,7,block_7,69,181,0.276,5.20256644,2;4;4;3;2;4;3;4;4;4;4;4;4;4;2
sweep_K20_sw3_lam1.0_kmax4,20,3,1.0,8,block_8,69,181,0.276,5.51006359,2;4;4;4;2;4;3;4;4;4;4;4;4;4;2
sweep_K20_sw3_lam1.0_kmax4,20,3,1.0,9,block_9,69,181,0.276,5.6250785,2;4;4;4;2;4;3;4;4;4;4;4;4;4;2
sweep_K20_sw3_lam1.0_kmax4,20,3,1.0,10,block_10,69,181,0.276,5.07419065,2;4;4;4;2;4;3;4;4;4;4;4;4;4;2
sweep_K20_sw3_lam1.0_kmax4,20,3,1.0,11,block_11,69,181,0.276,5.41116851,2;4;4;4;2;4;3;4;4;4;4;4;4;4;2
sweep_K20_sw3_lam1.0_kmax4,20,3,1.0,12,block_12,69,181,0.276,5.4525615,2;4;4;3;2;4;3;4;4;4;4;4;4;4;2
sweep_K20_sw3_lam1.0_kmax4,20,3,1.0,13,block_13,69,181,0.276,5.95983982,2;4;4;4;2;4;3;4;4;4;4;4;4;4;2
sweep_K20_sw3_lam1.0_kmax4,20,3,1.0,14,block_14,69,181,0.276,5.37245632,2;4;4;3;2;4;3;4;4;4;4;4;4;4;2
sweep_K20_sw3_lam1.0_kmax4,20,3,1.0,15,block_15,69,181,0.276,4.97029051,2;4;4;3;2;4;3;4;4;4;4;4;4;4;2
sweep_K20_sw3_lam1.0_kmax4,20,3,1.0,16,block_16,69,181,0.276,5.92485124,2;4;4;4;2;4;3;4;4;4;4;4;4;4;2
sweep_K20_sw3_lam1.0_kmax4,20,3,1.0,17,block_17,69,181,0.276,5.09706993,2;4;4;4;2;4;3;4;4;4;4;4;4;4;2
sweep_K20_sw3_lam1.0_kmax4,20,3,1.0,18,block_18,69,181,0.276,5.31462401,2;4;4;4;2;4;3;4;4;4;4;4;4;4;2
sweep_K20_sw3_lam1.0_kmax4,20,3,1.0,19,block_19,69,181,0.276,6.15652092,2;4;4;4;2;4;3;4;4;4;4;4;4;4;2
sweep_K20_sw3_lam1.0_kmax4,20,3,1.0,20,block_20,69,181,0.276,5.1307313,2;4;4;4;2;4;3;4;4;4;4;4;4;4;2
sweep_K20_sw3_lam1.0_kmax4,20,3,1.0,21,block_21,69,181,0.276,5.22471826,2;4;4;4;2;4;3;4;4;4;4;4;4;4;2
sweep_K20_sw3_lam1.0_kmax4,20,3,1.0,22,block_22,69,181,0.276,4.99451516,2;4;4;3;2;4;3;4;4;4;4;4;4;4;2
sweep_K20_sw3_lam1.0_kmax4,20,3,1.0,23,block_23,69,181,0.276,6.69781702,2;4;4;3;2;4;3;4;4;4;4;4;4;4;2
sweep_K20_sw3_lam1.0_kmax4,20,3,1.0,24,block_24,69,181,0.276,6.34774402,2;4;4;3;2;4;3;4;4;4;4;4;4;4;2
sweep_K20_sw3_lam1.0_kmax4,20,3,1.0,25,block_25,69,181,0.276,6.07009248,2;4;4;3;2;4;3;4;4;4;4;4;4;4;2
sweep_K20_sw3_lam1.0_kmax4,20,3,1.0,26,block_26,69,181,0.276,7.48764777,2;4;4;4;2;4;3;4;4;4;4;4;4;4;2
sweep_K20_sw3_lam1.0_kmax4,20,3,1.0,27,block_27,69,181,0.276,6.19732012,2;4;4;3;2;4;3;4;4;4;4;4;4;4;2
