run,K,sw,lambda,T,B,Z,zone_len_min,zone_len_max,zone_len_mean,change_points_count,merged_zones_count,total_F,total_R,F_ratio,F_mean_per_block,F_std_per_block,R_mean_per_block,cost_mean_per_block,cost_std_per_block,cost_sum_all_blocks,k_mean,k1_count,k2_count,k3_count,k4_count,I_cut_mean,I_cut_std,I_l1cos_mean,I_l1cos_std,Delta_abs_mean,Delta_abs_max
sweep_K30_sw2_lam0.5_kmax4,30,2,0.5,250,28,26,2,51,9.615384615384615,30,26,2072,4928,0.296,74.0,0.0,176.0,6.049228,1.060017,169.378388,3.23489,0,252,53,423,0.22654899340171636,0.07212749559352427,0.09387796406793612,0.049339878286050555,0.0021406074838330033,0.08546559990014893
sweep_K30_sw2_lam1.0_kmax4,30,2,1.0,250,28,26,2,51,9.615384615384615,30,26,2072,4928,0.296,74.0,0.0,176.0,10.84997,1.060017,303.799153,3.23489,0,252,53,423,0.22654899340171636,0.07212749559352427,0.09387796406793612,0.049339878286050555,0.0021406074838330033,0.08546559990014893
sweep_K30_sw3_lam0.25_kmax4,30,3,0.25,250,28,24,2,82,10.416666666666666,30,24,2081,4919,0.2973,74.32,21.305689,175.68,3.226402,1.021798,90.339249,3.315476,13,161,99,399,0.22654899340171636,0.07212749559352427,0.09387796406793612,0.049339878286050555,0.0018107584533293816,0.08188251430964658
sweep_K30_sw3_lam0.5_kmax4,30,3,0.5,250,28,24,2,82,10.416666666666666,30,24,1961,5039,0.2801,70.04,0.185577,179.96,5.271336,1.05208,147.597404,3.354167,1,167,97,407,0.22654899340171636,0.07212749559352427,0.09387796406793612,0.049339878286050555,0.0018107584533293816,0.08188251430964658
sweep_K30_sw3_lam1.0_kmax4,30,3,1.0,250,28,24,2,82,10.416666666666666,30,24,1960,5040,0.28,70.0,0.0,180.0,9.330269,1.06896,261.247546,3.355655,0,168,97,407,0.22654899340171636,0.07212749559352427,0.09387796406793612,0.049339878286050555,0.0018107584533293816,0.08188251430964658
sweep_K30_sw5_lam0.25_kmax4,30,5,0.25,250,28,21,2,105,11.904761904761905,30,21,2075,4925,0.2964,74.11,20.192536,175.89,2.745289,0.937857,76.868088,3.52551,7,34,190,357,0.22654899340171636,0.07212749559352427,0.09387796406793612,0.049339878286050555,0.001520954782843592,0.04922228217101873
sweep_K30_sw5_lam0.5_kmax4,30,5,0.5,250,28,21,2,105,11.904761904761905,30,21,1961,5039,0.2801,70.04,0.185577,179.96,4.402765,0.958664,123.277423,3.568027,0,29,196,363,0.22654899340171636,0.07212749559352427,0.09387796406793612,0.049339878286050555,0.001520954782843592,0.04922228217101873
sweep_K30_sw5_lam1.0_kmax4,30,5,1.0,250,28,21,2,105,11.904761904761905,30,21,1960,5040,0.28,70.0,0.0,180.0,7.696387,0.969699,215.498833,3.569728,0,28,197,363,0.22654899340171636,0.07212749559352427,0.09387796406793612,0.049339878286050555,0.001520954782843592,0.04922228217101873
sweep_K30_sw9_lam0.25_kmax4,30,9,0.25,250,28,19,2,124,13.157894736842104,30,19,2060,4940,0.2943,73.57,17.791307,176.43,2.695639,0.708735,75.477901,2.834586,3,227,157,145,0.22654899340171636,0.07212749559352427,0.09387796406793612,0.049339878286050555,0.0013541131537287622,0.027420949779463494
sweep_K30_sw9_lam0.5_kmax4,30,9,0.5,250,28,19,2,124,13.157894736842104,30,19,1961,5039,0.2801,70.04,0.185577,179.96,4.585093,0.726082,128.382615,2.851504,0,225,161,146,0.22654899340171636,0.07212749559352427,0.09387796406793612,0.049339878286050555,0.0013541131537287622,0.027420949779463494
